slug,geoJSON
ajuda,Ajuda
benfica,Benfica
misericordia,Misericórdia
estrela,Estrela
marvila,Marvila
sao-vicente,São Vicente
lumiar,Lumiar
santo-antonio,Santo António
areeiro,Areeiro
belem,Belém
olivais,Olivais
campo-de-ourique,Campo de Ourique
sao-domingos-de-benfica,São Domingos de Benfica
beato,Beato
alcantara,Alcântara
arroios,Arroios
carnide,Carnide
penha-de-franca,Penha de França
avenidas-novas,Avenidas Novas
santa-clara,Santa Clara
campolide,Campolide
parque-das-nacoes,Parque das Nações
santa-maria-maior,Santa Maria Maior
alvalade,Alvalade
